# x y z vx vy vz lxvel lyvel lzvel Potential U rho
0.399124 -0.025816 -0.146525 -18.221291 66.347771 -31.381575 -29.836878 76.959328 17.102261 -159778.218750 736.725891 0.007026
0.326338 -0.202145 0.029018 24.314882 53.045563 -42.734936 -41.190239 63.657120 -25.433912 -159731.062500 936.957703 0.011322
-0.019359 0.279948 -0.128806 -77.535576 -22.176872 49.987133 51.531830 -11.565315 76.416550 -162601.546875 1920.953491 0.059199
0.282464 -0.152883 0.006030 14.695916 -106.054642 10.347000 11.891697 -95.443085 -15.814946 -162700.375000 820.516602 0.004357
0.310885 -0.247413 0.166991 59.722740 -1.932426 11.000938 12.545635 8.679131 -60.841770 -158472.031250 539.014587 0.004000
-0.040123 0.298788 -0.115414 -77.122353 -27.060448 48.972294 50.516991 -16.448891 76.003326 -162467.671875 1810.015625 0.050942
0.198946 -0.222679 -0.301384 24.301973 37.420883 -5.103310 -3.558613 48.032440 -25.421003 -157850.156250 747.859924 0.007230
0.246673 0.109319 -0.242769 -51.002609 70.090881 -0.175167 1.369530 80.702438 49.883579 -161322.093750 1514.781860 0.032993
-0.356890 -0.076529 0.192743 18.953306 -71.338722 -0.692688 0.852009 -60.727165 -20.072336 -159784.468750 1001.671387 0.013021
-0.053267 0.365307 -0.002111 -82.655327 15.710423 24.942772 26.487469 26.321980 81.536301 -161276.484375 1367.565674 0.025958
-0.036598 0.327662 -0.136241 -67.761734 -25.864380 44.586941 46.131638 -15.252823 66.642708 -161519.343750 1824.219849 0.051950
-0.006286 -0.385576 -0.027473 65.816780 22.110153 -36.018307 -34.473610 32.721710 -66.935814 -160371.296875 1251.570190 0.021196
0.058263 0.374801 -0.158203 -63.999825 -10.504066 30.920956 32.465652 0.107491 62.880795 -160544.156250 1940.955444 0.060785
0.073610 0.324157 -0.187614 -69.292862 -3.539261 33.843685 35.388382 7.072296 68.173836 -161048.968750 2071.606689 0.071927
0.089068 0.254836 -0.317494 -48.358139 26.318201 21.866276 23.410973 36.929756 47.239109 -159034.390625 1332.851074 0.024464
0.240477 0.212901 -0.162769 -86.484924 51.676350 11.552948 13.097645 62.287907 85.365898 -161909.968750 786.243652 0.007962
0.315908 0.148899 -0.180252 -67.765442 68.609863 -9.274878 -7.730181 79.221420 66.646416 -161224.250000 658.080261 0.005694
-0.091143 0.261051 -0.120773 -93.915764 0.055958 40.167660 41.712357 10.667515 92.796738 -162526.406250 1399.240356 0.027375
-0.089154 0.273824 -0.222406 -64.293770 50.322338 -6.346796 -4.802099 60.933895 63.174740 -160180.812500 967.198975 0.012096
0.120007 0.154600 -0.381509 3.444513 47.032043 0.030518 1.575214 57.643600 -4.563543 -157708.968750 736.036621 0.007014
-0.094298 0.393763 0.002860 -79.908379 7.180908 16.336384 17.881081 17.792465 78.789352 -160485.015625 1251.236450 0.021183
-0.090292 0.369614 -0.128900 -63.741089 -33.135719 32.241009 33.785706 -22.524162 62.622059 -160542.968750 1576.951294 0.036325
0.103492 0.312914 -0.098064 -89.743378 -16.870590 36.070232 37.614929 -6.259033 88.624352 -162018.546875 1361.779541 0.025705
-0.023860 0.401611 -0.100467 -58.053185 -28.025673 30.846539 32.391235 -17.414116 56.934155 -160233.437500 1844.696777 0.053427
0.477294 0.017148 -0.021826 6.885117 56.146099 -14.089916 -12.545219 66.757652 -8.004147 -157853.953125 438.664948 0.002836
0.237389 -0.266736 -0.198231 34.670238 59.995987 -18.855206 -17.310509 70.607544 -35.789268 -159435.515625 1074.585205 0.015132
-0.379841 0.097866 0.174037 -34.808853 -51.115395 36.063747 37.608444 -40.503838 33.689823 -159275.187500 874.769470 0.009839
0.000207 0.409491 -0.023789 -72.529625 -27.531029 17.349125 18.893822 -16.919472 71.410599 -160143.859375 1264.178711 0.021682
-0.174852 -0.398077 -0.138042 3.257076 -15.618553 -2.840763 -1.296066 -5.006996 -4.376106 -156543.718750 613.390747 0.005014
0.201374 0.208329 -0.234706 -62.178154 49.492664 30.113338 31.658035 60.104221 61.059124 -161108.890625 1789.911133 0.049540
0.214703 0.075157 -0.289926 -44.656086 75.374084 8.311420 9.856117 85.985641 43.537056 -160558.562500 998.205383 0.012926
0.267250 -0.193942 -0.201247 19.701035 73.147209 -21.502701 -19.958004 83.758766 -20.820065 -159950.921875 1166.837891 0.018120
0.114106 0.353398 -0.175166 -70.714371 -3.173508 33.079769 34.624466 7.438049 69.595345 -160549.828125 1819.276245 0.051597
-0.053989 0.379044 -0.131182 -60.895920 -29.303139 39.230228 40.774925 -18.691582 59.776890 -160433.625000 1721.064209 0.044948
-0.003902 0.354577 -0.148498 -64.289864 -22.551971 43.946507 45.491203 -11.940414 63.170834 -160705.890625 1817.666626 0.051483
0.301291 0.102204 -0.227156 -50.668129 73.546440 -2.873423 -1.328726 84.157997 49.549099 -160999.671875 1343.604980 0.024920
