x,y,z,vx,vy,vz,lxvel,lyvel,lzvel,Potential,U,rho,Rs,Zs,rho_sph_log,deltaRho,rho_resta1,rho_resta_final,rho_resta_final_exp
-0.5645266347037919,-1.0701046918939958,-0.05944350220560704,67.9290537232362,0.6602959009331997,-56.80990088622442,-20.878571,-60.289246,-67.53094499999999,-709929.0,271.683655,0.001287,1.209881966517202,-0.05944350220560704,-2.8904214530956134,0.058218043448432955,-4.901297937735665,-4.901297937735665,1.255168588738078e-05
0.0528391592379727,-1.1956176738947142,-0.21260292210507656,61.989454924897544,26.98286037259223,-60.28503106890156,-36.117561,-39.196472,-75.474548,-710181.9375,394.678772,0.002388,1.1967846919468776,-0.21260292210507656,-2.6219656775426685,0.9502847549973645,-4.632431009169294,-4.632431009169294,2.3311434049203556e-05
-1.227899578347968,-0.13294968019095654,0.2620785777434023,27.568406378284322,-72.68405098364481,31.789091097968324,73.603561,-57.80072,9.443665,-709406.4375,269.552765,0.001269,1.2350761077642118,0.2620785777434023,-2.896538377905295,0.056649801037885306,-4.908205763510183,-4.908205763510183,1.2353619950905363e-05
0.030721126488420437,-1.3028251549670986,-0.03156327407348086,52.11580733940127,4.854968611316352,-62.221036404197704,-31.868958000000006,-53.382294,-56.19781500000001,-709272.25,347.7846370000001,0.001945,1.303187312717463,-0.03156327407348086,-2.7110803943382735,0.6378496451466702,-4.724885944415032,-4.724885944415032,1.8841438434441348e-05
0.1296837801494319,0.9818262628240334,-0.108380359688211,-86.64879964055822,-26.302244561223887,59.00402055312677,45.469727,36.992645,87.930603,-711272.875,378.332825,0.00223,0.9903538222296384,-0.108380359688211,-2.6516951369518393,0.8978843862065253,-4.655680137598711,-4.655680137598711,2.2096315504718756e-05
-1.12473142081015,-0.4585212701477717,0.4358897554398996,12.611803470074394,-80.76978155749288,-35.075540996855565,14.31337,-90.818771,21.871033,-709794.5625,266.317413,0.001242,1.2146038548166824,0.4358897554398996,-2.9058784041594388,0.02373868289246528,-4.916903119531996,-4.916903119531996,1.210868218483912e-05
0.35051944917779865,-0.9163224524861934,-0.7538732654795373,61.335492725429965,57.05451967971573,-48.51076794558378,-38.046379,-9.841766,-88.81420899999998,-710150.0,266.315247,0.001242,0.9810763075226205,-0.7538732654795373,-2.9058784041594388,0.05942720191094186,-4.909572162677392,-4.909572162677392,1.2314813449264398e-05
-1.2270198739120213,-0.3821884348452802,0.4249213263951835,12.634968456596372,-77.97104522965057,-14.79968499202806,30.837616,-78.740158,21.856873,-708928.1875,291.179688,0.00145,1.2851637135807086,0.4249213263951835,-2.838631997765025,0.22235944354304604,-4.851871746379956,-4.851871746379956,1.406462812194181e-05
0.16396503802175058,-1.1029009332287545,-0.4549580553245201,61.41081677948762,43.15187878554864,-61.22709777635832,-43.545502,-26.879364,-82.94274899999998,-710301.1875,402.23526,0.002463,1.1150224222903913,-0.4549580553245201,-2.6085355881608967,0.9837296242367313,-4.616434217579875,-4.616434217579875,2.4186096560721135e-05
0.08963662557644547,0.9777988817079558,0.0243292730252932,-86.62441304366276,-31.243779796310807,59.645540726262595,48.002853,33.461975,90.369568,-711164.8125,328.122192,0.0017690000000000004,0.9818988632817847,0.0243292730252932,-2.7522721670902768,0.5087041940820256,-4.7559917474902775,-4.7559917474902775,1.7539138295813826e-05
