limit_theta,limit_r,selected_theta,selected_r,selected_x,selected_y,source
,,-205.22344911796776,3.7435680650477803,-3.3866290341328322,1.595319918641431,theta1
,,-226.63576900600663,3.6552601150723216,-2.5098250911738056,2.6573867841458307,theta1
,,-264.6508112180899,3.8550686517680712,-0.3593902751752285,3.8382799454904752,theta1
,,-267.3076272003025,3.8351076415789804,-0.1801483456344912,3.830874207809837,theta1
,,-271.1337053591167,3.9276828204679393,0.07771156170455269,3.9269139602716567,theta1
,,-213.23386203478935,3.780520477359763,-3.1621806473618688,2.071943202210563,theta1
,,-220.29122457823667,3.769631962284122,-2.8753523070256533,2.4377190653470087,theta1
,,-218.78085692918054,3.671608456726576,-2.8621923701982284,2.299687695206712,theta1
,,-216.29259647339214,3.7448347756286777,-3.018354703421751,2.216601538637399,theta1
,,-241.60632075849873,3.6828080898238795,-1.7512752904274382,3.2397700973387766,theta1
,,-234.47031145548272,3.6564762717072936,-2.1248687574571683,2.975693446768484,theta1
,,-267.6852518616073,4.012608306882384,-0.16206518638046052,4.009334146691315,theta1
,,-230.50784734694838,3.7271279391514573,-2.3703509889485144,2.8762682183680623,theta1
,,-252.5298978339223,3.855838312061444,-1.1575538710719488,3.677982887987272,theta1
,,-183.5428768234884,3.5375288910624496,-3.5307680853091568,0.21860325446761808,theta1
,,-224.18358939905,3.705426183283067,-2.6571991321718924,2.5825328597608705,theta1
,,-221.4994303403957,3.747358928352421,-2.806630594915652,2.483047249165029,theta1
,,-216.27353234500757,3.815765519035452,-3.076276554338082,2.257562636448811,theta1
,,-212.41697199137732,3.76921847708926,-3.1818580235013663,2.0205908656408056,theta1
,,-228.87281207845223,3.724911003885825,-2.4499959645278016,2.805794319023972,theta1
,,-238.6754387586975,3.6786670301268436,-1.9124850923378929,3.1424499821202523,theta1
,,-255.38281276522343,3.872686367920685,-0.9773097156823825,3.7473411138981634,theta1
,,-219.38508286554725,3.828546024746385,-2.9590786335162056,2.429324660120424,theta1
,,-280.4841065510129,4.059269208893055,0.7386358712191189,3.9915014167623215,theta1
,,-268.68755942934183,3.894293285120332,-0.0891964747507956,3.8932716549741735,theta1
,,-194.402207918835,3.6190915544182696,-3.5053564524689866,0.9001665514757197,theta1
,,-223.70134572785514,3.7998766842441234,-2.7471243397872267,2.6253324888879708,theta1
,,-226.4375068482819,3.795071456003067,-2.6153558091689364,2.7499966086552794,theta1
,,-281.7126433582455,4.116247373953724,0.8356121042328317,4.030539027827483,theta1
,,-186.6699270226606,3.7148646121584563,-3.689721479705778,0.4314794188197205,theta1
,,-208.59924055508463,3.8346001463629817,-3.3667379762138663,1.8355472431965243,theta1
,,-273.65422755467944,4.00369152803212,0.2551755719619185,3.9955514361737454,theta1
,,-276.52670600248075,3.9725332674891276,0.451543209467606,3.946787211301306,theta1
,,-265.7119096724268,4.014907507186277,-0.3002004451598814,4.0036685657015285,theta1
,,-214.7364607953807,3.8030693568858753,-3.125292448942431,2.166998763697794,theta1
,,-275.115588585985,3.959317035770154,0.3530336461861801,3.943546453942219,theta1
,,-244.3191214777188,3.7912128031471153,-1.6429536927828992,3.416723237565144,theta1
,,-282.0762630272892,4.03062686610051,0.8432613956243509,3.9414290748890672,theta1
,,-240.3044577457859,3.741126866898929,-1.8533208990904733,3.2498048986404515,theta1
,,-180.27169645118886,3.594349336827568,-3.5943089246603326,0.017044332191622026,theta1
,,-255.14830893592205,3.9871862168046137,-1.0219872054625376,3.8539844420219915,theta1
,,-188.7729465532012,3.669409253906042,-3.6264790255435844,0.559655384985931,theta1
,,-181.6370248249503,3.6517663419478845,-3.650275921817888,0.10432214903845444,theta1
,,-284.03199133475295,4.029883387525285,0.9771001404334688,3.9096336698746033,theta1
,,-249.56113549120693,3.857297051508069,-1.3469979790807989,3.6144621989896484,theta1
,,-279.5372411909312,4.128523712106498,0.6840494718270647,4.0714597335008404,theta1
,,-243.07809103486284,3.843447985987934,-1.7402197944493871,3.4269122381527715,theta1
,,-201.64412112997368,3.7913153644079696,-3.524000078293088,1.3983903748904472,theta1
,,-206.49447520199976,3.792995012600443,-3.3946447481144624,1.692098755897755,theta1
,,-229.80494211906029,3.8056467116655623,-2.45613319336316,2.9069497124082817,theta1
,,-226.49046417168404,3.8307356061492848,-2.6373668126340637,2.7782785281242712,theta1
